"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"647",0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
"648",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"649",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"650",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
"651",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"652",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"653",0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"654",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"655",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"656",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"657",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0
"658",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"659",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
"660",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"661",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"662",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"663",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"664",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"665",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
"666",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"667",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"668",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"669",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"670",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
"671",0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
"672",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"673",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"674",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"675",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"676",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"677",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
"678",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"679",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"680",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"681",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"682",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"683",0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"684",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
"685",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"686",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"687",0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"688",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"689",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"690",0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"691",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"692",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"693",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"694",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"695",1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"696",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"697",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"698",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"699",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"700",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"701",1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"703",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"704",0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"705",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"706",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"707",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"708",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"709",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"710",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"711",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"712",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"713",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"714",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"715",0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"716",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"717",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"718",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"719",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
"720",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"721",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"722",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"723",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"724",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"725",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"726",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"727",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"728",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"729",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"730",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
"731",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"732",0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
"733",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"734",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0
"735",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
"736",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"737",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"738",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"739",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"740",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
"741",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"742",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"743",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"744",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"745",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"746",0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
"747",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"748",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"749",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"750",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"751",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
"752",0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
"753",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"754",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"755",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"756",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
"757",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"759",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
"760",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"761",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
"762",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"763",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"764",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"765",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"766",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"767",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"768",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"769",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"770",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"771",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"772",0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"773",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"774",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"775",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"776",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"777",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"778",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"779",0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"780",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
"781",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
"782",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"783",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"784",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"785",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"786",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"787",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"788",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"789",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"790",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"791",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"792",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"793",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"794",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"795",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"796",0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"797",0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
"798",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"799",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"800",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"801",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"802",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"803",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"804",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
"805",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"806",0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"807",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"808",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"809",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
"810",0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"811",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"812",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"813",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"814",1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"815",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
"816",1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"817",0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
"818",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
"819",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"820",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"821",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"823",0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"824",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"825",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"826",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"827",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"828",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
"829",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"830",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"831",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"832",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"833",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"834",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"835",0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
"836",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"837",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"839",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"840",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"841",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"842",0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"843",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"844",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"845",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"846",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"847",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"848",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"849",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"850",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"851",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"852",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"853",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"855",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"856",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"857",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"858",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"859",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"860",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"861",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"862",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"863",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"864",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"865",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"866",0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"867",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
"868",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"869",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"870",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"871",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"872",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"873",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"874",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"875",0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
"876",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
"877",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"878",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"879",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"880",0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"881",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"882",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"883",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
"884",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"885",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"886",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"887",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"888",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"889",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"890",0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"891",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"892",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"893",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"894",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"895",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"896",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"897",1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"898",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"899",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"900",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"901",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"902",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"903",0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"904",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"905",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"906",1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"907",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"908",0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"909",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"910",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"911",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"912",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"913",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"914",0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0
"915",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"916",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"917",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"918",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"919",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"920",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"921",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"922",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"923",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"924",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"925",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"926",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"927",1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"928",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"929",0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"930",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"931",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"932",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"933",0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
"934",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
"935",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"936",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"937",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"938",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"939",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"940",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"941",1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"942",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"943",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"944",0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"945",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"946",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"947",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"948",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"949",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"950",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"951",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
"952",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"953",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"954",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1
"955",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"956",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"957",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"958",0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
"959",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"960",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
"961",0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"962",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
"963",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"964",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"965",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"966",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
"967",0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0
"968",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"969",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"970",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
